"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6";"C1";1;"4.7uF";;;
2;"C5";"C1";1;".22uF";;;
3;"U3";"HMC5883L_bigpads";1;"HMC5883";;;
4;"P2,P1";"TERM_STRIP_4x1";2;"CONN_4";;;
5;"Q2";"sot23";1;"MOSFET_N";;;
6;"R6,R7,R5,R4,R3";"R3";5;"820";;;
7;"R15,R13";"R3";2;"5.6k";;;
8;"R14,R12";"R3";2;"200";;;
9;"R11,R10,R9,R8";"R3";4;"1k";;;
10;"R1,R2";"R3";2;"4.7k";;;
11;"C3,C1";"C1";2;"0.1uF";;;
12;"C4";"C1";1;"2.2nF";;;
13;"C2";"C1";1;"10nF";;;
14;"D3,D2,D1,D5,D4";"SM0603";5;"LED";;;
15;"Q1";"SOT23";1;"MOSFET_N";;;
16;"U1";"ADXL345";1;"ADXL345";;;
17;"SHIELD1";"ARDUINO_SHIELD_WO_MOUNTING_HOLES";1;"ARDUINO_SHIELD";;;
18;"U0";"ITG3200";1;"ITG3200";;;
19;"SW1";"SMD_PUSHBUTTON_TOP-PTS525";1;"SW_PUSH";;;
20;"JP1,JP2,JP3,JP4";"connect-PAD-02";4;"JUMPER";;;
21;"U2";"xbee_r1-XBEE";1;"XBEE";;;
